DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
2016-01-01,0.0,0.0,0.0,53.96,26.060000000000002,28.04
2016-01-02,0.0,0.0,0.0,46.94,23.0,30.02
2016-01-03,0.0,0.0,0.0,53.06,28.94,30.02
2016-01-04,0.0,0.0,0.0,37.04,10.04,10.04
2016-01-05,0.0,0.0,0.0,41.0,8.059999999999999,10.940000000000001
2016-01-06,0.0,0.0,0.0,42.08,8.059999999999999,10.04
2016-01-07,0.0,0.0,0.0,44.96,10.04,30.92
2016-01-08,0.0,0.0,0.0,35.06,30.92,35.06
2016-01-09,0.0,0.0,0.0,35.06,30.92,35.06
2016-01-10,0.909448818897638,0.0,0.0,46.94,35.06,44.06
2016-01-11,0.0,0.0,0.0,44.06,17.96,26.060000000000002
2016-01-12,0.0,0.0,0.0,37.04,17.96,26.060000000000002
2016-01-13,0.011811023622047244,0.0,0.0,42.980000000000004,12.020000000000003,15.079999999999998
2016-01-14,0.0,0.0,0.0,53.96,15.079999999999998,24.08
2016-01-15,0.3700787401574803,0.0,0.0,50.0,24.08,37.04
2016-01-16,0.0,0.0,0.0,51.98,24.08,32.0
2016-01-17,0.011811023622047244,0.0,0.0,33.98,12.920000000000002,12.920000000000002
2016-01-18,0.0,0.0,0.0,19.939999999999998,10.04,10.04
2016-01-19,0.0,0.0,0.0,24.08,6.979999999999997,6.979999999999997
2016-01-20,0.0,0.0,0.0,26.96,6.979999999999997,17.06
2016-01-21,0.0,0.0,0.0,32.0,10.04,12.920000000000002
2016-01-22,0.9881889763779529,19.015748031496063,19.015748031496063,21.92,12.020000000000003,19.939999999999998
2016-01-23,0.421259842519685,7.0078740157480315,25.984251968503937,24.08,-2.019999999999996,-0.9400000000000048
2016-01-24,0.0,0.0,25.984251968503937,30.92,-0.9400000000000048,6.080000000000002
2016-01-25,0.0,0.0,20.984251968503937,39.02,6.080000000000002,37.94
2016-01-26,0.0,0.0,12.007874015748031,51.08,35.06,35.06
2016-01-27,0.0,0.0,10.984251968503937,41.0,5.0,6.080000000000002
2016-01-28,0.0,0.0,9.015748031496063,44.06,6.080000000000002,30.02
2016-01-29,0.0,0.0,7.0078740157480315,37.04,6.080000000000002,15.079999999999998
2016-01-30,0.0,0.0,5.984251968503937,46.94,15.079999999999998,41.0
2016-01-31,0.0,0.0,5.0,62.059999999999995,41.0,42.08
2016-02-01,0.1811023622047244,0.0,2.9921259842519685,50.0,23.0,24.08
2016-02-02,0.03149606299212599,0.0,0.984251968503937,44.96,23.0,42.08
2016-02-03,0.610236220472441,0.0,0.0,51.98,37.94,42.980000000000004
2016-02-04,0.0,0.0,0.0,48.92,32.0,32.0
2016-02-05,0.0,0.0,0.0,48.92,19.04,19.939999999999998
2016-02-06,0.0,0.0,0.0,48.92,19.04,19.939999999999998
2016-02-07,0.0,0.0,0.0,44.96,17.96,19.04
2016-02-08,0.01968503937007874,0.0,0.0,44.96,17.96,32.0
2016-02-09,0.03149606299212599,0.0,0.0,39.02,26.060000000000002,26.060000000000002
2016-02-10,0.0,0.0,0.0,33.08,15.979999999999997,15.979999999999997
2016-02-11,0.0,0.0,0.0,26.060000000000002,6.979999999999997,8.96
2016-02-12,0.01968503937007874,0.0,0.0,30.02,8.96,15.079999999999998
2016-02-13,0.0,0.0,0.0,19.04,5.0,5.0
2016-02-14,0.07874015748031496,0.984251968503937,0.984251968503937,24.08,3.919999999999998,19.04
2016-02-15,0.8582677165354331,0.0,0.984251968503937,32.0,19.04,30.92
2016-02-17,0.0,0.0,0.0,46.04,28.04,28.94
2016-02-19,0.0,0.0,0.0,42.980000000000004,21.92,42.08
2016-02-20,0.0,0.0,0.0,66.92,39.02,50.0
