NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/1/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",12.2,",,7",-3.3,",,7",-2.2,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/2/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",8.3,",,7",-5,",,7",-1.1,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/3/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",11.7,",,7",-1.7,",,7",-1.1,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/4/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",2.8,",,7",-12.2,",,7",-12.2,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/5/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",5,",,7",-13.3,",,7",-11.7,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/6/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",5.6,",,7",-13.3,",,7",-12.2,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/7/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",7.2,",,7",-12.2,",,7",-0.6,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/8/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",1.7,",,7",-0.6,",,7",1.7,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/9/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",1.7,",,7",-0.6,",,7",1.7,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/10/16,,,,,23.1,",,7,0800",0,",,7,",0,",,7,",8.3,",,7",1.7,",,7",6.7,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/11/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",6.7,",,7",-7.8,",,7",-3.3,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/12/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",2.8,",,7",-7.8,",,7",-3.3,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/13/16,,,,,0.3,",,7,0800",0,",,7,",0,",,7,",6.1,",,7",-11.1,",,7",-9.4,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/14/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",12.2,",,7",-9.4,",,7",-4.4,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/15/16,,,,,9.4,",,7,0800",0,",,7,",0,",,7,",10,",,7",-4.4,",,7",2.8,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/16/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",11.1,",,7",-4.4,",,7",0,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/17/16,,,,,0.3,",,7,0800",0,",,7,",0,",,7,",1.1,",,7",-10.6,",,7",-10.6,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/18/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",-6.7,",,7",-12.2,",,7",-12.2,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/19/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",-4.4,",,7",-13.9,",,7",-13.9,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/20/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",-2.8,",,7",-13.9,",,7",-8.3,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/21/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",0,",,7",-12.2,",,7",-10.6,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/22/16,,,,,25.1,",,7,0800",483,",,7,",483,",,7,",-5.6,",,7",-11.1,",,7",-6.7,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/23/16,,,,,10.7,",,7,0800",178,",,7,",660,",,7,",-4.4,",,7",-18.9,",,7",-18.3,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/24/16,,,,,0,",,7,0800",0,",,7,",660,",,7,",-0.6,",,7",-18.3,",,7",-14.4,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/25/16,,,,,0,",,7,0800",0,",,7,",533,",,7,",3.9,",,7",-14.4,",,7",3.3,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/26/16,,,,,0,",,7,0800",0,",,7,",305,",,7,",10.6,",,7",1.7,",S,7",1.7,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/27/16,,,,,0,",,7,0800",0,",,7,",279,",,7,",5,",,7",-15,",,7",-14.4,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/28/16,,,,,0,",,7,0800",0,",,7,",229,",,7,",6.7,",,7",-14.4,",,7",-1.1,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/29/16,,,,,0,",,7,0800",0,",,7,",178,",,7,",2.8,",,7",-14.4,",,7",-9.4,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/30/16,,,,,0,",,7,0800",0,",,7,",152,",,7,",8.3,",,7",-9.4,",,7",5,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,1/31/16,,,,,0,",,7,0800",0,",,7,",127,",,7,",16.7,",,7",5,",,7",5.6,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/1/16,,,,,4.6,",,7,0800",0,",,7,",76,",,7,",10,",,7",-5,",,7",-4.4,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/2/16,,,,,0.8,",,7,0800",0,",,7,",25,",,7,",7.2,",,7",-5,",,7",5.6,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/3/16,,,,,15.5,",,7,0800",0,",,7,",0,",,7,",11.1,",,7",3.3,",,7",6.1,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/4/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",9.4,",,7",0,",,7",0,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/5/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",9.4,",,7",-7.2,",,7",-6.7,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/6/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",9.4,",,7",-7.2,",,7",-6.7,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/7/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",7.2,",,7",-7.8,",,7",-7.2,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/8/16,,,,,0.5,",,7,0800",0,",,7,",0,",,7,",7.2,",,7",-7.8,",,7",0,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/9/16,,,,,0.8,",,7,0800",0,",,7,",0,",,7,",3.9,",,7",-3.3,",,7",-3.3,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/10/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",0.6,",,7",-8.9,",,7",-8.9,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/11/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",-3.3,",,7",-13.9,",,7",-12.8,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/12/16,,,,,0.5,",,7,0800",0,",,7,",0,",,7,",-1.1,",,7",-12.8,",,7",-9.4,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/13/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",-7.2,",,7",-15,",,7",-15,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/14/16,,,,,2,",,7,0800",25,",,7,",25,",,7,",-4.4,",,7",-15.6,",,7",-7.2,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/15/16,,,,,21.8,",,7,0800",0,",,7,",25,",,7,",0,",,7",-7.2,",,7",-0.6,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/17/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",7.8,",,7",-2.2,",,7",-1.7,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/19/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",6.1,",,7",-5.6,",,7",5.6,",,7,0800",,,
USC00449186,"WINCHESTER 7 SE, VA US",39.10837,-78.15252,207.3,2/20/16,,,,,0,",,7,0800",0,",,7,",0,",,7,",19.4,",,7",3.9,",,7",10,",,7,0800",,,
